0:0:0:0:0:0:0:1 - - [20/Dec/2019:20:02:39 +0200] "GET /shop/console/stylesheet.css HTTP/1.1" 200 4937
0:0:0:0:0:0:0:1 - - [20/Dec/2019:20:02:39 +0200] "GET /shop/console/login.jsp?jsessionid=93effc76b5901809959cfb1441954227 HTTP/1.1" 200 8989
0:0:0:0:0:0:0:1 - - [20/Dec/2019:20:02:39 +0200] "GET /shop/console/background.gif HTTP/1.1" 200 180
0:0:0:0:0:0:0:1 - - [20/Dec/2019:20:02:40 +0200] "GET /favicon.ico HTTP/1.1" 404 713
0:0:0:0:0:0:0:1 - - [20/Dec/2019:20:03:49 +0200] "POST /shop/console/login.do?jsessionid=93effc76b5901809959cfb1441954227 HTTP/1.1" 200 1472
0:0:0:0:0:0:0:1 - - [20/Dec/2019:20:03:49 +0200] "GET /shop/console/stylesheet.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2019:20:03:49 +0200] "GET /shop/console/header.jsp?jsessionid=93effc76b5901809959cfb1441954227 HTTP/1.1" 200 8083
0:0:0:0:0:0:0:1 - - [20/Dec/2019:20:03:49 +0200] "GET /shop/console/help.jsp?jsessionid=93effc76b5901809959cfb1441954227 HTTP/1.1" 200 5328
0:0:0:0:0:0:0:1 - - [20/Dec/2019:20:03:49 +0200] "GET /shop/console/query.jsp?jsessionid=93effc76b5901809959cfb1441954227 HTTP/1.1" 200 16430
0:0:0:0:0:0:0:1 - - [20/Dec/2019:20:03:49 +0200] "GET /shop/console/icon_disconnect.gif HTTP/1.1" 200 125
0:0:0:0:0:0:0:1 - - [20/Dec/2019:20:03:49 +0200] "GET /shop/console/icon_line.gif HTTP/1.1" 200 830
0:0:0:0:0:0:0:1 - - [20/Dec/2019:20:03:49 +0200] "GET /shop/console/tables.do?jsessionid=93effc76b5901809959cfb1441954227 HTTP/1.1" 200 7744
0:0:0:0:0:0:0:1 - - [20/Dec/2019:20:03:49 +0200] "GET /shop/console/icon_refresh.gif HTTP/1.1" 200 339
0:0:0:0:0:0:0:1 - - [20/Dec/2019:20:03:49 +0200] "GET /shop/console/icon_rollback.gif HTTP/1.1" 200 343
0:0:0:0:0:0:0:1 - - [20/Dec/2019:20:03:49 +0200] "GET /shop/console/icon_commit.gif HTTP/1.1" 200 335
0:0:0:0:0:0:0:1 - - [20/Dec/2019:20:03:49 +0200] "GET /shop/console/icon_stop.gif HTTP/1.1" 200 226
0:0:0:0:0:0:0:1 - - [20/Dec/2019:20:03:49 +0200] "GET /shop/console/icon_run.gif HTTP/1.1" 200 391
0:0:0:0:0:0:0:1 - - [20/Dec/2019:20:03:49 +0200] "GET /shop/console/icon_run_selected.gif HTTP/1.1" 200 324
0:0:0:0:0:0:0:1 - - [20/Dec/2019:20:03:49 +0200] "GET /shop/console/icon_history.gif HTTP/1.1" 200 227
0:0:0:0:0:0:0:1 - - [20/Dec/2019:20:03:49 +0200] "GET /shop/console/icon_help.gif HTTP/1.1" 200 385
0:0:0:0:0:0:0:1 - - [20/Dec/2019:20:03:49 +0200] "GET /shop/console/tree.js HTTP/1.1" 200 3197
0:0:0:0:0:0:0:1 - - [20/Dec/2019:20:03:49 +0200] "GET /shop/console/tree_minus.gif HTTP/1.1" 200 873
0:0:0:0:0:0:0:1 - - [20/Dec/2019:20:03:49 +0200] "GET /shop/console/tree_plus.gif HTTP/1.1" 200 882
0:0:0:0:0:0:0:1 - - [20/Dec/2019:20:03:49 +0200] "GET /shop/console/tree_database.gif HTTP/1.1" 200 557
0:0:0:0:0:0:0:1 - - [20/Dec/2019:20:03:49 +0200] "GET /shop/console/tree_index_az.gif HTTP/1.1" 200 168
0:0:0:0:0:0:0:1 - - [20/Dec/2019:20:03:49 +0200] "GET /shop/console/tree_column.gif HTTP/1.1" 200 329
0:0:0:0:0:0:0:1 - - [20/Dec/2019:20:03:49 +0200] "GET /shop/console/tree_empty.gif HTTP/1.1" 200 73
0:0:0:0:0:0:0:1 - - [20/Dec/2019:20:03:49 +0200] "GET /shop/console/tree_table.gif HTTP/1.1" 200 355
0:0:0:0:0:0:0:1 - - [20/Dec/2019:20:03:49 +0200] "GET /shop/console/tree_type.gif HTTP/1.1" 200 208
0:0:0:0:0:0:0:1 - - [20/Dec/2019:20:03:49 +0200] "GET /shop/console/tree_index.gif HTTP/1.1" 200 163
0:0:0:0:0:0:0:1 - - [20/Dec/2019:20:03:49 +0200] "GET /shop/console/tree_sequences.gif HTTP/1.1" 200 125
0:0:0:0:0:0:0:1 - - [20/Dec/2019:20:03:49 +0200] "GET /shop/console/tree_folder.gif HTTP/1.1" 200 384
0:0:0:0:0:0:0:1 - - [20/Dec/2019:20:03:49 +0200] "GET /shop/console/tree_sequence.gif HTTP/1.1" 200 102
0:0:0:0:0:0:0:1 - - [20/Dec/2019:20:03:49 +0200] "GET /shop/console/tree_users.gif HTTP/1.1" 200 613
0:0:0:0:0:0:0:1 - - [20/Dec/2019:20:03:49 +0200] "GET /shop/console/tree_user.gif HTTP/1.1" 200 512
0:0:0:0:0:0:0:1 - - [20/Dec/2019:20:03:49 +0200] "GET /shop/console/tree_info.gif HTTP/1.1" 200 279
0:0:0:0:0:0:0:1 - - [20/Dec/2019:20:03:52 +0200] "POST /shop/console/query.do?jsessionid=93effc76b5901809959cfb1441954227 HTTP/1.1" 200 1357
0:0:0:0:0:0:0:1 - - [20/Dec/2019:20:03:52 +0200] "GET /shop/console/table.js HTTP/1.1" 200 8930
0:0:0:0:0:0:0:1 - - [20/Dec/2019:20:03:59 +0200] "POST /shop/console/query.do?jsessionid=93effc76b5901809959cfb1441954227 HTTP/1.1" 200 1608
0:0:0:0:0:0:0:1 - - [20/Dec/2019:20:03:59 +0200] "GET /shop/console/stylesheet.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2019:20:04:06 +0200] "POST /shop/console/query.do?jsessionid=93effc76b5901809959cfb1441954227 HTTP/1.1" 200 1356
0:0:0:0:0:0:0:1 - - [20/Dec/2019:20:04:06 +0200] "GET /shop/console/table.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2019:20:04:17 +0200] "POST /shop/console/query.do?jsessionid=93effc76b5901809959cfb1441954227 HTTP/1.1" 200 952
0:0:0:0:0:0:0:1 - - [20/Dec/2019:20:04:17 +0200] "GET /shop/console/table.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2019:20:04:17 +0200] "GET /shop/console/stylesheet.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2019:20:04:46 +0200] "GET /shop/console/logout.do?jsessionid=93effc76b5901809959cfb1441954227 HTTP/1.1" 200 950
0:0:0:0:0:0:0:1 - - [20/Dec/2019:20:04:46 +0200] "GET /shop/console/stylesheet.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2019:20:04:46 +0200] "GET /shop/console/login.jsp?jsessionid=93effc76b5901809959cfb1441954227 HTTP/1.1" 200 9033
0:0:0:0:0:0:0:1 - - [20/Dec/2019:20:04:46 +0200] "GET /shop/console/background.gif HTTP/1.1" 304 -
